epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,38.7752,0.76799,0.64468,0.91233,0.97012,1,0.995,0.6976,1.03995,0.51222,1.05479,0.00113191,0.00113191,0.00113191
44,39.6483,0.70704,0.60033,0.89374,0.97259,1,0.995,0.70513,1.09985,0.49295,1.06743,0.00112484,0.00112484,0.00112484
45,40.4898,0.79005,0.61938,0.94917,0.97142,1,0.995,0.70417,1.11653,0.48037,1.05575,0.00111776,0.00111776,0.00111776
46,41.3479,0.76788,0.59917,0.90553,0.97629,1,0.995,0.696,1.09156,0.49729,1.06769,0.00111069,0.00111069,0.00111069
47,42.1861,0.80161,0.63686,0.93066,0.95413,0.99118,0.995,0.72637,1.03544,0.48346,1.0398,0.00110362,0.00110362,0.00110362
48,43.0534,0.75336,0.57317,0.90464,0.97083,0.99543,0.995,0.71624,1.06482,0.51699,1.04332,0.00109654,0.00109654,0.00109654
49,43.8982,0.6935,0.55229,0.89216,0.97403,0.99854,0.995,0.7103,1.10161,0.52675,1.03756,0.00108947,0.00108947,0.00108947
50,44.7835,0.75043,0.56719,0.9491,0.95572,0.99403,0.995,0.70083,1.15723,0.54926,1.07714,0.0010824,0.0010824,0.0010824
51,45.6734,0.74508,0.57749,0.90552,0.94676,0.99335,0.995,0.69951,1.11824,0.52639,1.06412,0.00107532,0.00107532,0.00107532
52,46.62,0.74948,0.59404,0.92726,0.94878,0.98806,0.995,0.70619,1.10613,0.52626,1.06654,0.00106825,0.00106825,0.00106825
53,47.4852,0.77294,0.57278,0.91639,0.94028,0.99363,0.995,0.71459,1.11565,0.49622,1.05894,0.00106118,0.00106118,0.00106118
54,48.3815,0.73501,0.56436,0.89521,0.94292,0.99344,0.995,0.71717,1.07043,0.47734,1.03872,0.0010541,0.0010541,0.0010541
55,49.2589,0.76674,0.58467,0.91644,0.96409,0.99397,0.995,0.72174,1.04416,0.46576,1.03794,0.00104703,0.00104703,0.00104703
56,50.1429,0.76591,0.55168,0.90073,0.9764,0.9981,0.995,0.74059,1.03922,0.49253,1.03242,0.00103995,0.00103995,0.00103995
57,51.0622,0.71387,0.55051,0.89367,0.97781,0.99579,0.995,0.72844,1.062,0.47488,1.05307,0.00103288,0.00103288,0.00103288
58,51.9225,0.69815,0.51663,0.8874,0.95638,0.99671,0.995,0.76065,1.02115,0.4517,1.00913,0.00102581,0.00102581,0.00102581
59,52.788,0.69543,0.52297,0.89495,0.95505,0.99508,0.995,0.73235,1.06034,0.45512,1.02474,0.00101873,0.00101873,0.00101873
